Question | Wrong Answer | Expected Answer | Option ID
What are the total sales in PHARMACY Last Complete Year? | Total sales excluding PHARMACY Last Complete Year. | Total sales in PHARMACY Last Complete Year. | 2
What were my total PHARMACY sales Last Complete Year? | Total sales excluding PHARMACY Last Complete Year. | Total sales in PHARMACY Last Complete Year. | 2
What are the total PHARMACY sales Last Complete Year? | Total sales excluding PHARMACY Last Complete Year. | Total sales in PHARMACY Last Complete Year. | 2
What were my total sales in HBC Last Complete Year? | Total sales in the HBC department Last Complete Year. | Total sales in HBC Last Complete Year. | 2
What are the total sales in HBC Last Complete Year? | Total sales excluding HBC Last Complete Year. | Total sales in HBC Last Complete Year. | 2
What were my total HBC sales Last Complete Year? | Total sales in the HBC department Last Complete Year. | Total sales in HBC Last Complete Year. | 2
What are the total HBC sales Last Complete Year? | Total sales excluding HBC Last Complete Year. | Total sales in HBC Last Complete Year. | 2
What were my total sales in FLORAL this current Period to Date? | Total sales this current Period to Date. | Total sales in FLORAL this current Period to Date. | 2
What are the total sales in FLORAL this current Period to Date? | Total sales this current Period to Date. | Total sales in FLORAL this current Period to Date. | 2
What were my total FLORAL sales this current Period to Date? | Total sales this current Period to Date. | Total sales in FLORAL this current Period to Date. | 2
What are the total FLORAL sales this current Period to Date? | Total sales this current Period to Date. | Total sales in FLORAL this current Period to Date. | 2
What were my total sales in SEAFOOD this current Period to Date? | Total sales in the SEAFOOD department this current Period to Date. | Total sales in SEAFOOD this current Period to Date. | 2
What are the total sales in SEAFOOD this current Period to Date? | Total sales in the SEAFOOD department this current Period to Date. | Total sales in SEAFOOD this current Period to Date. | 2
What were my total SEAFOOD sales this current Period to Date? | Total sales in the SEAFOOD department this current Period to Date. | Total sales in SEAFOOD this current Period to Date. | 2
What are the total SEAFOOD sales this current Period to Date? | Total sales in the SEAFOOD department this current Period to Date. | Total sales in SEAFOOD this current Period to Date. | 2
What were my total sales in GM this current Period to Date? | Total sales this current Period to Date. | Total sales in GM this current Period to Date. | 2
What are the total sales in GM this current Period to Date? | Total sales this current Period to Date. | Total sales in GM this current Period to Date. | 2
What were my total GM sales this current Period to Date? | Total sales excluding GM this current Period to Date. | Total sales in GM this current Period to Date. | 2
What are the total GM sales this current Period to Date? | Total sales excluding GM this current Period to Date. | Total sales in GM this current Period to Date. | 2
What were my total sales in PRODUCE this current Period to Date? | Total sales this current Period to Date. | Total sales in PRODUCE this current Period to Date. | 2
What are the total sales in PRODUCE this current Period to Date? | Total sales this current Period to Date. | Total sales in PRODUCE this current Period to Date. | 2
What were my total PRODUCE sales this current Period to Date? | Total sales this current Period to Date. | Total sales in PRODUCE this current Period to Date. | 2
What are the total PRODUCE sales this current Period to Date? | Total sales this current Period to Date. | Total sales in PRODUCE this current Period to Date. | 2
What were my total sales in DELI this current Period to Date? | Total sales in store Delhi this current Period to Date. | Total sales in DELI this current Period to Date. | 2
What are the total sales in DELI this current Period to Date? | Total sales in the DELI department this current Period to Date. | Total sales in DELI this current Period to Date. | 2
What were my total DELI sales this current Period to Date? | Total sales in the DELI department this current Period to Date. | Total sales in DELI this current Period to Date. | 2
What are the total DELI sales this current Period to Date? | Total sales in the DELI department this current Period to Date. | Total sales in DELI this current Period to Date. | 2
What were my total sales in BAKERY this current Period to Date? | Total sales in store Barre this current Period to Date. | Total sales in BAKERY this current Period to Date. | 2
What are the total sales in BAKERY this current Period to Date? | Total sales this current Period to Date. | Total sales in BAKERY this current Period to Date. | 2
What were my total BAKERY sales this current Period to Date? | Total sales excluding BAKERY this current Period to Date. | Total sales in BAKERY this current Period to Date. | 2
What are the total BAKERY sales this current Period to Date? | Total sales excluding BAKERY this current Period to Date. | Total sales in BAKERY this current Period to Date. | 2
What were my total sales in MEAT this current Period to Date? | Total sales excluding MEAT this current Period to Date. | Total sales in MEAT this current Period to Date. | 2
What are the total sales in MEAT this current Period to Date? | Total sales in the MEAT department this current Period to Date. | Total sales in MEAT this current Period to Date. | 2
What were my total MEAT sales this current Period to Date? | Total sales excluding MEAT this current Period to Date. | Total sales in MEAT this current Period to Date. | 2
What are the total MEAT sales this current Period to Date? | Total sales excluding MEAT this current Period to Date. | Total sales in MEAT this current Period to Date. | 2
What were my total sales in GROCERY this current Period to Date? | Total sales this current Period to Date. | Total sales in GROCERY this current Period to Date. | 2
What are the total sales in GROCERY this current Period to Date? | Total sales this current Period to Date. | Total sales in GROCERY this current Period to Date. | 2
What were my total GROCERY sales this current Period to Date? | Total sales this current Period to Date. | Total sales in GROCERY this current Period to Date. | 2
What are the total GROCERY sales this current Period to Date? | Total sales this current Period to Date. | Total sales in GROCERY this current Period to Date. | 2
What were my total sales in PHARMACY this current Period to Date? | Total sales excluding PHARMACY this current Period to Date. | Total sales in PHARMACY this current Period to Date. | 2
What are the total sales in PHARMACY this current Period to Date? | Total sales excluding PHARMACY this current Period to Date. | Total sales in PHARMACY this current Period to Date. | 2
What were my total PHARMACY sales this current Period to Date? | Total sales excluding PHARMACY this current Period to Date. | Total sales in PHARMACY this current Period to Date. | 2
What are the total PHARMACY sales this current Period to Date? | Total sales excluding PHARMACY this current Period to Date. | Total sales in PHARMACY this current Period to Date. | 2
What were my total sales in HBC this current Period to Date? | Total sales in the HBC department this current Period to Date. | Total sales in HBC this current Period to Date. | 2
What are the total sales in HBC this current Period to Date? | Total sales in the HBC department this current Period to Date. | Total sales in HBC this current Period to Date. | 2
What were my total HBC sales this current Period to Date? | Total sales in the HBC department this current Period to Date. | Total sales in HBC this current Period to Date. | 2
What are the total HBC sales this current Period to Date? | Total sales in the HBC department this current Period to Date. | Total sales in HBC this current Period to Date. | 2
What were my total sales in FLORAL PTD? | Total sales excluding FLORAL PTD. | Total sales in FLORAL PTD. | 2
What are the total sales in FLORAL PTD? | Total sales excluding FLORAL PTD. | Total sales in FLORAL PTD. | 2
What were my total FLORAL sales PTD? | Total sales excluding FLORAL PTD. | Total sales in FLORAL PTD. | 2
What are the total FLORAL sales PTD? | Total sales excluding FLORAL PTD. | Total sales in FLORAL PTD. | 2
What were my total sales in SEAFOOD PTD? | Total sales excluding SEAFOOD PTD. | Total sales in SEAFOOD PTD. | 2
What are the total sales in SEAFOOD PTD? | Total sales excluding SEAFOOD PTD. | Total sales in SEAFOOD PTD. | 2
What were my total SEAFOOD sales PTD? | Total sales excluding SEAFOOD PTD. | Total sales in SEAFOOD PTD. | 2
What are the total SEAFOOD sales PTD? | Total sales excluding SEAFOOD PTD. | Total sales in SEAFOOD PTD. | 2
What were my total sales in GM PTD? | Total sales excluding GM PTD. | Total sales in GM PTD. | 2
What are the total sales in GM PTD? | Total sales excluding GM PTD. | Total sales in GM PTD. | 2
What were my total GM sales PTD? | Total sales excluding GM PTD. | Total sales in GM PTD. | 2
What are the total GM sales PTD? | Total sales excluding GM PTD. | Total sales in GM PTD. | 2
What were my total sales in PRODUCE PTD? | Total sales PTD. | Total sales in PRODUCE PTD. | 2
What are the total sales in PRODUCE PTD? | Total sales PTD. | Total sales in PRODUCE PTD. | 2
What were my total PRODUCE sales PTD? | Total sales PTD. | Total sales in PRODUCE PTD. | 2
What are the total PRODUCE sales PTD? | Total sales PTD. | Total sales in PRODUCE PTD. | 2
What were my total sales in DELI PTD? | Total sales in store Delhi PTD. | Total sales in DELI PTD. | 2
What are the total sales in DELI PTD? | Total sales in store Delhi PTD. | Total sales in DELI PTD. | 2
What were my total DELI sales PTD? | Total sales in the DELI department PTD. | Total sales in DELI PTD. | 2
What are the total DELI sales PTD? | Total sales in the DELI department PTD. | Total sales in DELI PTD. | 2
What were my total sales in BAKERY PTD? | Total sales in store Potsdam YTD. | Total sales in BAKERY PTD. | 2
What are the total sales in BAKERY PTD? | Total sales in store Potsdam YTD. | Total sales in BAKERY PTD. | 2
What were my total BAKERY sales PTD? | Total sales excluding BAKERY PTD. | Total sales in BAKERY PTD. | 2
What are the total BAKERY sales PTD? | Total sales excluding BAKERY PTD. | Total sales in BAKERY PTD. | 2
What were my total sales in MEAT PTD? | Total sales excluding MEAT PTD. | Total sales in MEAT PTD. | 2
What are the total sales in MEAT PTD? | Total sales excluding MEAT PTD. | Total sales in MEAT PTD. | 2
What were my total MEAT sales PTD? | Total sales excluding MEAT PTD. | Total sales in MEAT PTD. | 2
What are the total MEAT sales PTD? | Total sales excluding MEAT PTD. | Total sales in MEAT PTD. | 2
What were my total sales in GROCERY PTD? | Total sales YTD. | Total sales in GROCERY PTD. | 2
What are the total sales in GROCERY PTD? | Total sales YTD. | Total sales in GROCERY PTD. | 2
What were my total GROCERY sales PTD? | Total sales YTD. | Total sales in GROCERY PTD. | 2
What are the total GROCERY sales PTD? | Total sales PTD. | Total sales in GROCERY PTD. | 2
What were my total sales in PHARMACY PTD? | Total sales excluding PHARMACY PTD. | Total sales in PHARMACY PTD. | 2
What are the total sales in PHARMACY PTD? | Total sales excluding PHARMACY PTD. | Total sales in PHARMACY PTD. | 2
What were my total PHARMACY sales PTD? | Total sales excluding PHARMACY PTD. | Total sales in PHARMACY PTD. | 2
What are the total PHARMACY sales PTD? | Total sales excluding PHARMACY PTD. | Total sales in PHARMACY PTD. | 2
What were my total sales in HBC PTD? | Total sales in the HBC department PTD. | Total sales in HBC PTD. | 2
What are the total sales in HBC PTD? | Total sales in the HBC department PTD. | Total sales in HBC PTD. | 2
What were my total HBC sales PTD? | Total sales in the HBC department PTD. | Total sales in HBC PTD. | 2
What are the total HBC sales PTD? | Total sales in the HBC department PTD. | Total sales in HBC PTD. | 2
What were my total sales in FLORAL Rolling 13 Weeks? | Total sales excluding FLORAL Rolling 13 Weeks. | Total sales in FLORAL Rolling 13 Weeks. | 2
What are the total sales in FLORAL Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in FLORAL Rolling 13 Weeks. | 2
What were my total FLORAL sales Rolling 13 Weeks? | Total sales excluding FLORAL Rolling 13 Weeks. | Total sales in FLORAL Rolling 13 Weeks. | 2
What are the total FLORAL sales Rolling 13 Weeks? | Total sales excluding FLORAL Rolling 13 Weeks. | Total sales in FLORAL Rolling 13 Weeks. | 2
What were my total sales in SEAFOOD Rolling 13 Weeks? | Total sales excluding SEAFOOD Rolling 13 Weeks. | Total sales in SEAFOOD Rolling 13 Weeks. | 2
What are the total sales in SEAFOOD Rolling 13 Weeks? | Total sales excluding SEAFOOD Rolling 13 Weeks. | Total sales in SEAFOOD Rolling 13 Weeks. | 2
What were my total SEAFOOD sales Rolling 13 Weeks? | Total sales excluding SEAFOOD Rolling 13 Weeks. | Total sales in SEAFOOD Rolling 13 Weeks. | 2
What are the total SEAFOOD sales Rolling 13 Weeks? | Total sales excluding SEAFOOD Rolling 13 Weeks. | Total sales in SEAFOOD Rolling 13 Weeks. | 2
What were my total sales in GM Rolling 13 Weeks? | Total sales excluding GM Rolling 13 Weeks. | Total sales in GM Rolling 13 Weeks. | 2
What are the total sales in GM Rolling 13 Weeks? | Total sales excluding GM Rolling 13 Weeks. | Total sales in GM Rolling 13 Weeks. | 2
What were my total GM sales Rolling 13 Weeks? | Total sales excluding GM Rolling 13 Weeks. | Total sales in GM Rolling 13 Weeks. | 2
What are the total GM sales Rolling 13 Weeks? | Total sales excluding GM Rolling 13 Weeks. | Total sales in GM Rolling 13 Weeks. | 2
What were my total sales in PRODUCE Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in PRODUCE Rolling 13 Weeks. | 2
What are the total sales in PRODUCE Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in PRODUCE Rolling 13 Weeks. | 2
What were my total PRODUCE sales Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in PRODUCE Rolling 13 Weeks. | 2
What are the total PRODUCE sales Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in PRODUCE Rolling 13 Weeks. | 2
What were my total sales in DELI Rolling 13 Weeks? | Total sales excluding DELI Rolling 13 Weeks. | Total sales in DELI Rolling 13 Weeks. | 2
What are the total sales in DELI Rolling 13 Weeks? | Total sales in store Delhi Rolling 13 Weeks. | Total sales in DELI Rolling 13 Weeks. | 2
What were my total DELI sales Rolling 13 Weeks? | Total sales in the DELI department Rolling 13 Weeks. | Total sales in DELI Rolling 13 Weeks. | 2
What are the total DELI sales Rolling 13 Weeks? | Total sales excluding DELI Rolling 13 Weeks. | Total sales in DELI Rolling 13 Weeks. | 2
What were my total sales in BAKERY Rolling 13 Weeks? | Total sales excluding BAKERY Rolling 13 Weeks. | Total sales in BAKERY Rolling 13 Weeks. | 2
What are the total sales in BAKERY Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in BAKERY Rolling 13 Weeks. | 2
What were my total BAKERY sales Rolling 13 Weeks? | Total sales excluding BAKERY Rolling 13 Weeks. | Total sales in BAKERY Rolling 13 Weeks. | 2
What are the total BAKERY sales Rolling 13 Weeks? | Total sales excluding BAKERY Rolling 13 Weeks. | Total sales in BAKERY Rolling 13 Weeks. | 2
What were my total sales in MEAT Rolling 13 Weeks? | Total sales excluding MEAT Rolling 13 Weeks. | Total sales in MEAT Rolling 13 Weeks. | 2
What are the total sales in MEAT Rolling 13 Weeks? | Total sales excluding MEAT Rolling 13 Weeks. | Total sales in MEAT Rolling 13 Weeks. | 2
What were my total MEAT sales Rolling 13 Weeks? | Total sales excluding MEAT Rolling 13 Weeks. | Total sales in MEAT Rolling 13 Weeks. | 2
What are the total MEAT sales Rolling 13 Weeks? | Total sales excluding MEAT Rolling 13 Weeks. | Total sales in MEAT Rolling 13 Weeks. | 2
What were my total sales in GROCERY Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in GROCERY Rolling 13 Weeks. | 2
What are the total sales in GROCERY Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in GROCERY Rolling 13 Weeks. | 2
What were my total GROCERY sales Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in GROCERY Rolling 13 Weeks. | 2
What are the total GROCERY sales Rolling 13 Weeks? | Total sales Rolling 13 Weeks. | Total sales in GROCERY Rolling 13 Weeks. | 2
What were my total sales in PHARMACY Rolling 13 Weeks? | Total sales excluding PHARMACY Rolling 13 Weeks. | Total sales in PHARMACY Rolling 13 Weeks. | 2
What are the total sales in PHARMACY Rolling 13 Weeks? | Total sales excluding PHARMACY Rolling 13 Weeks. | Total sales in PHARMACY Rolling 13 Weeks. | 2
What were my total PHARMACY sales Rolling 13 Weeks? | Total sales excluding PHARMACY Rolling 13 Weeks. | Total sales in PHARMACY Rolling 13 Weeks. | 2
What are the total PHARMACY sales Rolling 13 Weeks? | Total sales excluding PHARMACY Rolling 13 Weeks. | Total sales in PHARMACY Rolling 13 Weeks. | 2
What were my total sales in HBC Rolling 13 Weeks? | Total sales excluding HBC Rolling 13 Weeks. | Total sales in HBC Rolling 13 Weeks. | 2
What are the total sales in HBC Rolling 13 Weeks? | Total sales excluding HBC Rolling 13 Weeks. | Total sales in HBC Rolling 13 Weeks. | 2
What were my total HBC sales Rolling 13 Weeks? | Total sales excluding HBC Rolling 13 Weeks. | Total sales in HBC Rolling 13 Weeks. | 2
What are the total HBC sales Rolling 13 Weeks? | Total sales excluding HBC Rolling 13 Weeks. | Total sales in HBC Rolling 13 Weeks. | 2
What were my total sales in FLORAL Last Complete Week? | Total sales Last Complete Week. | Total sales in FLORAL Last Complete Week. | 2
What are the total sales in FLORAL Last Complete Week? | Total sales Last Week. | Total sales in FLORAL Last Complete Week. | 2
What were my total FLORAL sales Last Complete Week? | Total sales excluding FLORAL Last Complete Week. | Total sales in FLORAL Last Complete Week. | 2
What are the total FLORAL sales Last Complete Week? | Total sales Last Week. | Total sales in FLORAL Last Complete Week. | 2
What were my total sales in SEAFOOD Last Complete Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Complete Week. | 2
What are the total sales in SEAFOOD Last Complete Week? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD Last Complete Week. | 2
What were my total SEAFOOD sales Last Complete Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Complete Week. | 2
What are the total SEAFOOD sales Last Complete Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Complete Week. | 2
What were my total sales in GM Last Complete Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Complete Week. | 2
What are the total sales in GM Last Complete Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Complete Week. | 2
What were my total GM sales Last Complete Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Complete Week. | 2
What are the total GM sales Last Complete Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Complete Week. | 2
What were my total sales in PRODUCE Last Complete Week? | Total sales Last Complete Week. | Total sales in PRODUCE Last Complete Week. | 2
What are the total sales in PRODUCE Last Complete Week? | Total sales Last Complete Week. | Total sales in PRODUCE Last Complete Week. | 2
What were my total PRODUCE sales Last Complete Week? | Total sales Last Complete Week. | Total sales in PRODUCE Last Complete Week. | 2
What are the total PRODUCE sales Last Complete Week? | Total sales Last Week. | Total sales in PRODUCE Last Complete Week. | 2
What were my total sales in DELI Last Complete Week? | Total sales in the DELI department Last Complete Week. | Total sales in DELI Last Complete Week. | 2
What are the total sales in DELI Last Complete Week? | Total sales in the DELI department Last Complete Week. | Total sales in DELI Last Complete Week. | 2
What were my total DELI sales Last Complete Week? | Total sales in the DELI department Last Complete Week. | Total sales in DELI Last Complete Week. | 2
What are the total DELI sales Last Complete Week? | Total sales in the DELI department Last Complete Week. | Total sales in DELI Last Complete Week. | 2
What were my total sales in BAKERY Last Complete Week? | Total sales excluding BAKERY Last Complete Week. | Total sales in BAKERY Last Complete Week. | 2
What are the total sales in BAKERY Last Complete Week? | Total sales Last Complete Week. | Total sales in BAKERY Last Complete Week. | 2
What were my total BAKERY sales Last Complete Week? | Total sales excluding BAKERY Last Complete Week. | Total sales in BAKERY Last Complete Week. | 2
What are the total BAKERY sales Last Complete Week? | Total sales Last Week. | Total sales in BAKERY Last Complete Week. | 2
What were my total sales in MEAT Last Complete Week? | Total sales excluding MEAT Last Complete Week. | Total sales in MEAT Last Complete Week. | 2
What are the total sales in MEAT Last Complete Week? | Total sales excluding MEAT Last Complete Week. | Total sales in MEAT Last Complete Week. | 2
What were my total MEAT sales Last Complete Week? | Total sales excluding MEAT Last Complete Week. | Total sales in MEAT Last Complete Week. | 2
What are the total MEAT sales Last Complete Week? | Total sales excluding MEAT Last Complete Week. | Total sales in MEAT Last Complete Week. | 2
What were my total sales in GROCERY Last Complete Week? | Total sales Last Complete Week. | Total sales in GROCERY Last Complete Week. | 2
What are the total sales in GROCERY Last Complete Week? | Total sales Last Complete Week. | Total sales in GROCERY Last Complete Week. | 2
What were my total GROCERY sales Last Complete Week? | Total sales Last Complete Week. | Total sales in GROCERY Last Complete Week. | 2
What are the total GROCERY sales Last Complete Week? | Total sales Last Week. | Total sales in GROCERY Last Complete Week. | 2
What were my total sales in PHARMACY Last Complete Week? | Total sales excluding PHARMACY Last Complete Week. | Total sales in PHARMACY Last Complete Week. | 2
What are the total sales in PHARMACY Last Complete Week? | Total sales excluding PHARMACY Last Complete Week. | Total sales in PHARMACY Last Complete Week. | 2
What were my total PHARMACY sales Last Complete Week? | Total sales excluding PHARMACY Last Week. | Total sales in PHARMACY Last Complete Week. | 2
What are the total PHARMACY sales Last Complete Week? | Total sales excluding PHARMACY this current Week To Date. | Total sales in PHARMACY Last Complete Week. | 2
What were my total sales in HBC Last Complete Week? | Total sales excluding HBC Last Complete Week. | Total sales in HBC Last Complete Week. | 2
What are the total sales in HBC Last Complete Week? | Total sales excluding HBC Last Complete Week. | Total sales in HBC Last Complete Week. | 2
What were my total HBC sales Last Complete Week? | Total sales in the HBC department Last Complete Week. | Total sales in HBC Last Complete Week. | 2
What are the total HBC sales Last Complete Week? | Total sales excluding HBC Last Complete Week. | Total sales in HBC Last Complete Week. | 2
What were my total sales in FLORAL Last Week? | Total sales Last Week. | Total sales in FLORAL Last Week. | 2
What are the total sales in FLORAL Last Week? | Total sales Last Week. | Total sales in FLORAL Last Week. | 2
What were my total FLORAL sales Last Week? | Total sales in the FLORAL BAKERY departments Last Week. | Total sales in FLORAL Last Week. | 2
What are the total FLORAL sales Last Week? | Total sales Last Week. | Total sales in FLORAL Last Week. | 2
What were my total sales in SEAFOOD Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Week. | 2
What are the total sales in SEAFOOD Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Week. | 2
What were my total SEAFOOD sales Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Week. | 2
What are the total SEAFOOD sales Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD Last Week. | 2
What were my total sales in GM Last Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Week. | 2
What are the total sales in GM Last Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Week. | 2
What were my total GM sales Last Week? | Total sales excluding GM Last Complete Week. | Total sales in GM Last Week. | 2
What are the total GM sales Last Week? | Total sales excluding GM Last Week. | Total sales in GM Last Week. | 2
What were my total sales in PRODUCE Last Week? | Total sales Last Week. | Total sales in PRODUCE Last Week. | 2
What are the total sales in PRODUCE Last Week? | Total sales Last Week. | Total sales in PRODUCE Last Week. | 2
What were my total PRODUCE sales Last Week? | Total sales Last Week. | Total sales in PRODUCE Last Week. | 2
What are the total PRODUCE sales Last Week? | Total sales Last Week. | Total sales in PRODUCE Last Week. | 2
What were my total sales in DELI Last Week? | Total sales in store Delhi Last Week. | Total sales in DELI Last Week. | 2
What are the total sales in DELI Last Week? | Total sales in store Delhi Last Week. | Total sales in DELI Last Week. | 2
What were my total DELI sales Last Week? | Total sales in the DELI department Last Week. | Total sales in DELI Last Week. | 2
What are the total DELI sales Last Week? | Total sales in the DELI department Last Week. | Total sales in DELI Last Week. | 2
What were my total sales in BAKERY Last Week? | Total sales excluding BAKERY Last Week. | Total sales in BAKERY Last Week. | 2
What are the total sales in BAKERY Last Week? | Total sales Last Week. | Total sales in BAKERY Last Week. | 2
What were my total BAKERY sales Last Week? | Total sales in the BAKERY department Last Week. | Total sales in BAKERY Last Week. | 2
What are the total BAKERY sales Last Week? | Total sales excluding BAKERY Last Week. | Total sales in BAKERY Last Week. | 2
What were my total sales in MEAT Last Week? | Total sales excluding MEAT Last Week. | Total sales in MEAT Last Week. | 2
What are the total sales in MEAT Last Week? | Total sales excluding MEAT Last Week. | Total sales in MEAT Last Week. | 2
What were my total MEAT sales Last Week? | Total sales excluding MEAT Last Week. | Total sales in MEAT Last Week. | 2
What are the total MEAT sales Last Week? | Total sales excluding MEAT Last Week. | Total sales in MEAT Last Week. | 2
What were my total sales in GROCERY Last Week? | Total sales Last Week. | Total sales in GROCERY Last Week. | 2
What are the total sales in GROCERY Last Week? | Total sales Last Week. | Total sales in GROCERY Last Week. | 2
What were my total GROCERY sales Last Week? | Total sales Last Week. | Total sales in GROCERY Last Week. | 2
What are the total GROCERY sales Last Week? | Total sales Last Week. | Total sales in GROCERY Last Week. | 2
What were my total sales in PHARMACY Last Week? | Total sales in the PHARMACY department Last Week. | Total sales in PHARMACY Last Week. | 2
What are the total sales in PHARMACY Last Week? | Total sales excluding PHARMACY Last Week. | Total sales in PHARMACY Last Week. | 2
What were my total PHARMACY sales Last Week? | Total sales in the PHARMACY department Last Week. | Total sales in PHARMACY Last Week. | 2
